author,content,date,tags,title,url,website-domain
 La Repubblica,"

L'istituto Cervi: ""Il filo della memoria va tenuto più stretto proprio adesso, mentre si spengono molte voci del nostro passato"". Il suo racconto di quella giornata storica: ""C'era il sole. Quanta gente, era piena la piazza, perché la gente aveva... Articolo completo »   Commenti »


",2020-03-23,[],"E' morta Eletta Bigi, la partigiana ""Sonia"": l'ultima testimone della pastasciutta a casa Cervi",https://bologna.repubblica.it/cronaca/2020/03/23/news/eletta_bigi_ultima_testimone_pastasciutta_casa_cervi-252107334/?rss,bologna.repubblica.it
 La Repubblica,"

E' morta a Terni a 96 anni. Il 2 Agosto 1980 aveva perso il figlio. Torquato, il marito, è stato il primo presidente dell'associazione dei familiari delle vittime. Il ricordo: ""Con lei viene a mancare uno dei simboli di ciò che ha significato la... Articolo completo »   Commenti »
 Emilia-Romagna Bologna Umbria Terni

",2020-03-25,"['Emilia-Romagna', 'Bologna', 'Umbria', 'Terni']","Strage alla stazione di Bologna, l'associazione piange Lidia Secci",https://bologna.repubblica.it/cronaca/2020/03/25/news/strage_alla_stazione_di_bologna_l_associazione_piange_lidia_secci-252248978/?rss,bologna.repubblica.it
 La Repubblica,"

Un morto e sei malati gravi Articolo completo »   Commenti »
 Coronavirus Emilia-Romagna Bologna

",2020-03-25,"['Coronavirus', 'Emilia-Romagna', 'Bologna']","Coronavirus Bologna, altro focolaio in una bocciofila",https://bologna.repubblica.it/cronaca/2020/03/25/news/coronavirus_bologna_altro_focolaio_in_una_bocciofila-252251849/?rss,bologna.repubblica.it
 La Repubblica,"

Dimesso da terapia intensiva, sembrava stare meglio. Invece è morto dopo essere stato trasferito di ospedale Articolo completo »   Commenti »
 Predappio

",2020-03-27,['Predappio'],"Coronavirus, muore a 26 anni Andrea Tesei, capo scout di Predappio",https://bologna.repubblica.it/cronaca/2020/03/27/news/coronavirus_muore_a_26_anni_andrea_tesei_capo_scout_di_predappio-252435619/?rss,bologna.repubblica.it
 La Repubblica,"



Denunciati il titolare di un negozio di ottica e un uomo che aveva creato un sito di ecommerce Articolo completo »   Commenti »
 Emilia-Romagna Ravenna E-commerce

",2020-03-28,"['Emilia-Romagna', 'Ravenna', 'E-commerce']",A Ravenna la Finanza scopre mascherine vendute con rincari fino al 1700%,https://bologna.repubblica.it/cronaca/2020/03/28/news/finanza_ravenna_mascherine-252549107/?rss,bologna.repubblica.it
 La Repubblica,"

Giorgio Scrofani aveva 56 anni, era ricoverato da due settimane Articolo completo »   Commenti »
 Marche Pesaro

",2020-03-30,"['Marche', 'Pesaro']","Pesaro, autista del 118 muore di coronavirus. Quinto caso in Italia",https://bologna.repubblica.it/cronaca/2020/03/30/news/autista_118_pesaro-252695472/?rss,bologna.repubblica.it
 La Repubblica,"

Rimini, nel 1978 la coppia fece sorgere la comunità per tossicodipendenti Articolo completo »   Commenti »
 Emilia-Romagna Rimini

",2020-03-30,"['Emilia-Romagna', 'Rimini']","E' morta Maria Antonietta Muccioli, col marito Vincenzo fondò San Patrignano",https://bologna.repubblica.it/cronaca/2020/03/30/news/vedova_muccioli-252698254/?rss,bologna.repubblica.it
 La Repubblica,"



La denuncia dei sindacati: ""Bene l'annuncio dello screening, ma continuano a mancare mascherine, calzari, camici"" Articolo completo »   Commenti »
 Emilia-Romagna Coronavirus

",2020-03-30,"['Emilia-Romagna', 'Coronavirus']","Emilia-Romagna, ""il 10% dei contagiati dal coronavirus sono operatori sanitari""",https://bologna.repubblica.it/cronaca/2020/03/30/news/sanitari_contagiati_covid_emilia-romagna-252699342/?rss,bologna.repubblica.it
 La Repubblica,"

La denuncia del sindacato di polizia penitenziaria: ""Conte assuma pro-tempore la gestione diretta"" delle strutture Articolo completo »   Commenti »
 Emilia-Romagna Bologna Carceri Sindacati Polizia Polizia Penitenziaria

",2020-04-2,"['Emilia-Romagna', 'Bologna', 'Carceri', 'Sindacati', 'Polizia', 'Polizia Penitenziaria']","""A Bologna morto per coronavirus il primo detenuto"". La UilPa: ""Contagio nelle carceri potrebbe...",https://bologna.repubblica.it/cronaca/2020/04/02/news/detenuto_bologna_coronavirus-252939061/?rss,bologna.repubblica.it
 La Repubblica,"

L'imprenditore aveva 85 anni: le sue creazioni hanno fatto la storia della scarpa di lusso italiana Articolo completo »   Commenti »
 Lusso

",2020-04-3,['Lusso'],"Coronavirus, è morto Sergio Rossi, re delle calzature",https://bologna.repubblica.it/cronaca/2020/04/03/news/covid_e_morto_sergio_rossi_re_delle_calzature-253021350/?rss,bologna.repubblica.it
